id,created_at,text
1428776750054522881,2021-08-20 17:51:37,"Je vais continuer de le dire (et de l’écrire sur Twitter) jusqu’à ce que tous les Canadiens admissibles aient reçu leurs deux doses de vaccin contre la COVID-19 : SVP, allez vous faire vacciner."
1428719906699239431,2021-08-20 14:05:44,"As more and more people go back to work and kids go back to school, we need a plan to keep everyone safe and healthy. Tune in now for the details on our plan to do just that: https://t.co/fNstTvvyxr"
1428719896809062409,2021-08-20 14:05:42,"À mesure que plus de gens reprennent le travail et que les enfants retournent à l'école, nous avons besoin d'un plan pour assurer la sécurité et la santé de tous. Regardez maintenant pour plus de détails : https://t.co/VUySrAh5Da"
1428557529391435779,2021-08-20 03:20:30,"What a night! Calgary — your energy was incredible. Let’s carry it forward, and on Sept. 20th, let’s move #ForwardForEveryone. https://t.co/IUEvA69au8"
1428557505110724611,2021-08-20 03:20:25,"Mais quelle soirée! L’énergie était incroyable à Calgary. Continuons sur notre lancée! Et le 20 septembre, #AvançonsEnsemble. https://t.co/TapciAnh4G"
1428551156968693763,2021-08-20 02:55:11,"Ran into some friends at the airport. Good luck with the game tomorrow, @MTLAlouettes! 🏈 https://t.co/Bfb0gB8gkV"
1428551102543409154,2021-08-20 02:54:58,"J’ai croisé des amis à l’aéroport. Bonne chance demain, @MTLAlouettes! 🏈 https://t.co/JlccoFbXAF"
1428535876477411328,2021-08-20 01:54:28,"@NarcityCanada Well, better is always possible."
1428528708801945600,2021-08-20 01:25:59,"Canadians want to know that their loved ones are safe and comfortable, whether they’re in a long-term facility or being cared for at home. That’s why we’re going to invest in personal care workers, and more. https://t.co/wkYlHKW2Aw"
1428528671057457152,2021-08-20 01:25:50,"Les Canadiens veulent s'assurer que leurs proches sont confortables et en sécurité - qu'ils habitent dans un centre de soins de longue durée ou à la maison. C'est pourquoi nous investirons dans les travailleurs qui soignent les aînés, et bien plus. https://t.co/tkgZkC9Fd0"
1428526293080027142,2021-08-20 01:16:23,"RT @liberal_party: Canada’s seniors deserve to live in dignity, safety, and comfort - and their families deserve to feel confident in the c…"
