id,created_at,full_text
1426268548113051649,2021-08-13 19:44:55,"b""Aujourd'hui, dans le cadre de notre engagement \xc3\xa0 prot\xc3\xa9ger la biodiversit\xc3\xa9, nous travaillons avec le gouvernement de la Colombie-Britannique et les nations Heiltsuk, Kitasoo/Xai'xais, Nuxalk et Wuikinuxv pour prot\xc3\xa9ger la remarquable c\xc3\xb4te centrale de la Colombie-Britannique. https://t.co/sT7XclRatu"""
1426226028935065602,2021-08-13 16:55:57,b'RT @ILInationhood: Healthier communities and healthier lands\xe2\x80\x94Indigenous Guardians &amp; IPCA\xe2\x80\x99s benefit ALL Canadians. We\xe2\x80\x99re glad Canada is supp\xe2\x80\xa6'
1426219751903272963,2021-08-13 16:31:01,b'RT @environmentca: Minister Wilkinson announced up to $340 million to help support a new generation of #Indigenous leaders in #nature #cons\xe2\x80\xa6'
1426219730315186176,2021-08-13 16:30:56,b'RT @environnementca: Le ministre Wilkinson a annonc\xc3\xa9 une aide pouvant atteindre 340 M$ en soutien \xc3\xa0 une nouvelle g\xc3\xa9n\xc3\xa9ration de leaders #aut\xe2\x80\xa6'
1426218019164938248,2021-08-13 16:24:08,b'RT @NatureCanada: Work to Grow bridges the lived experience of racialized youth in nature to Canada\xe2\x80\x99s vast and renowned environmental secto\xe2\x80\xa6'
1426217962390884354,2021-08-13 16:23:54,b'RT @land_guardians: \xe2\x80\x9cOur vision is that every Indigenous nation in Canada that wants a guardian program should be able to have one because\xe2\x80\xa6'
1426215232377139202,2021-08-13 16:13:03,"b""RT @aaronkylie: Great to see Canada's support of #Indigenous-led conservation, with feds giving $173 mil to @land_guardians &amp; $164 mil to c\xe2\x80\xa6"""
1426215136788983812,2021-08-13 16:12:41,b'RT @land_guardians: A big new investment that will get more Guardians on the ground: Canada announced over $173 million in funding for Guar\xe2\x80\xa6'
1426212812523716610,2021-08-13 16:03:26,"b'RT @ILInationhood: ""...this investment is an indication of the federal government\xe2\x80\x99s commitment to supporting Guardians &amp; Indigenous peoples\xe2\x80\xa6'"
1426207149554868227,2021-08-13 15:40:56,b'RT @environnementca: Vous voulez profiter de la nature sur la c\xc3\xb4te Est du Canada? Les oiseaux de rivage migrateurs affluent vers la r\xc3\xa9serve\xe2\x80\xa6'
1426207123973758981,2021-08-13 15:40:50,b'RT @environmentca: Looking to get out into nature on Canada\xe2\x80\x99s East Coast? Migrating shorebirds are flocking to Shepody National Wildlife Ar\xe2\x80\xa6'
1426207073730273280,2021-08-13 15:40:38,"b'RT @IndgLed_Conserv: ""The biggest, most ambitious plans for sustaining lands and communities are coming from Indigenous Nations. By partner\xe2\x80\xa6'"
1426207036010807305,2021-08-13 15:40:29,"b'RT @SoniaLiberal: When we need help, our #firefighters answer the \xf0\x9f\x93\x9e call. That\xe2\x80\x99s why we\xe2\x80\x99ve answered their calls about safety. This week, ou\xe2\x80\xa6'"
1426182506873827331,2021-08-13 14:03:01,"b'RT @IISD_news: Canadians are seeing first-hand the impacts of the #ClimateCrisis. From wildfires to drought to floods, this summer is showi\xe2\x80\xa6'"
1425989766294671360,2021-08-13 01:17:08,"b'Indigenous peoples have been here since time immemorial, and have a deep understanding of the management and conservation of ancestral lands. \n\nThat\xe2\x80\x99s why today, we announced that we\xe2\x80\x99re expanding access to our Indigenous led conservation programs: \n\nhttps://t.co/C1f8l5TspY https://t.co/zLUoMEs8fw'"
1425966864941948928,2021-08-12 23:46:08,"b'RT @DNorthVanFire: Thank you to Minister Jonathan Wilkinson, MP Terry Beech, and the Federal Government for their work to improve safety fo\xe2\x80\xa6'"
1425952503900909571,2021-08-12 22:49:04,b'RT @BernJordanMP: Canada and the Innu Nation have signed an historic agreement that will see more of their community members participate in\xe2\x80\xa6'
1425863409128689664,2021-08-12 16:55:02,"b""Aujourd'hui, c'est la Journ\xc3\xa9e internationale de la jeunesse ! Nous recherchons 10 Canadiens \xc3\xa2g\xc3\xa9s de 18 \xc3\xa0 25 ans pour rejoindre notre Conseil des jeunes sur l'environnement et le changement climatique.\n\nEn savoir plus \xe2\xac\x87\xef\xb8\x8f https://t.co/ecKCwav6yW"""
1425863046640111618,2021-08-12 16:53:36,b'Today is #InternationalYouthDay! And we want young people to have their say on how our country takes on #climatechange. We are looking for Canadians between the ages of 18 and 25 to join our Environment and Climate Change Youth Council. \n\nLearn more \xe2\xac\x87\xef\xb8\x8f https://t.co/mg2oPXmTz6'
1425832221856858123,2021-08-12 14:51:07,"b""RT @FPAC_APFC: Le secteur forestier canadien soutient fermement la strat\xc3\xa9gie nationale d'adaptation: https://t.co/8rlEnOP2xP https://t.co/E\xe2\x80\xa6"""
1425823215209779207,2021-08-12 14:15:19,b'RT @FPAC_APFC: We welcome the opportunity to do our part so that Canada\xe2\x80\x99s #NationalAdaptationStrategy sets clear targets and performance me\xe2\x80\xa6'
1425812605218721792,2021-08-12 13:33:10,"b'RT @AuCanada: Retroussons-nous les manches, Canada! \xf0\x9f\x92\xaa\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\n\nLes deuxi\xc3\xa8mes doses sont importantes. Elles offrent une protection optimale contre\xe2\x80\xa6'"
1425812595848753153,2021-08-12 13:33:07,"b'RT @Canada: Sleeves up, Canada! \xf0\x9f\x92\xaa\xf0\x9f\x87\xa8\xf0\x9f\x87\xa6\n \nSecond doses are important. They provide optimal protection against #Covid19, as well as variants of\xe2\x80\xa6'"
1425812585950089216,2021-08-12 13:33:05,b'RT @environnementca: C\xe2\x80\x99est la #Journ\xc3\xa9eInternationaleDeLaJeunesse! #SVQ que le #GC cr\xc3\xa9e des emplois pour les jeunes dans le secteur de la te\xe2\x80\xa6'
1425812576651382790,2021-08-12 13:33:03,b'RT @environmentca: It\xe2\x80\x99s #InternationalYouthDay! #DYK that #GoC creates jobs for #youth in the Clean Tech sector? Science Horizons Youth Int\xe2\x80\xa6'
1425804338732183553,2021-08-12 13:00:19,"b'RT @BernJordanMP: Our investment in @Ocean_Networks is an investment in #ClimateAction, Canada\xe2\x80\x99s #BlueEconomy, &amp; our coastal communities.\xe2\x80\xa6'"
